,AIRLINE NAME ,SOURCE,DESTINATIION,DEPARTURE TIME,ARRIVAL TIME,DATE,MONTH,YEAR,DURATION,TOTAL STOPS,PRICE
0,SpiceJet,New Delhi,Mumbai,19:00,"10:35
+ 1 day",29,11,2021,15h 35m,1 Stop,"5,635"
1,Air Asia,New Delhi,Mumbai,20:00,"02:25
+ 1 day",29,11,2021,6h 25m,1 Stop,"5,953"
2,Air Asia,New Delhi,Mumbai,20:45,"07:15
+ 1 day",29,11,2021,10h 30m,1 Stop,"5,953"
3,Air Asia,New Delhi,Mumbai,12:40,"02:25
+ 1 day",29,11,2021,13h 45m,1 Stop,"5,953"
4,Air Asia,New Delhi,Mumbai,12:10,"02:25
+ 1 day",29,11,2021,14h 15m,1 Stop,"5,953"
5,Air Asia,New Delhi,Mumbai,22:10,"12:25
+ 1 day",29,11,2021,14h 15m,1 Stop,"5,953"
6,Go First,New Delhi,Mumbai,21:10,23:15,29,11,2021,2h 05m,Non Stop,"5,954"
7,Go First,New Delhi,Mumbai,07:00,09:10,29,11,2021,2h 10m,Non Stop,"5,954"
8,Go First,New Delhi,Mumbai,08:00,10:10,29,11,2021,2h 10m,Non Stop,"5,954"
9,Go First,New Delhi,Mumbai,18:05,20:15,29,11,2021,2h 10m,Non Stop,"5,954"
10,Go First,New Delhi,Mumbai,22:30,"00:40
+ 1 day",29,11,2021,2h 10m,Non Stop,"5,954"
11,Go First,New Delhi,Mumbai,19:00,21:15,29,11,2021,2h 15m,Non Stop,"5,954"
12,Go First,New Delhi,Mumbai,10:30,12:50,29,11,2021,2h 20m,Non Stop,"5,954"
13,Air India,New Delhi,Mumbai,18:00,20:00,29,11,2021,2h 00m,Non Stop,"5,955"
14,IndiGo,New Delhi,Mumbai,06:30,08:40,29,11,2021,2h 10m,Non Stop,"5,955"
15,IndiGo,New Delhi,Mumbai,07:15,09:25,29,11,2021,2h 10m,Non Stop,"5,955"
16,Air India,New Delhi,Mumbai,08:00,10:10,29,11,2021,2h 10m,Non Stop,"5,955"
17,IndiGo,New Delhi,Mumbai,08:10,10:20,29,11,2021,2h 10m,Non Stop,"5,955"
18,Air India,New Delhi,Mumbai,10:40,12:50,29,11,2021,2h 10m,Non Stop,"5,955"
19,SpiceJet,New Delhi,Mumbai,18:55,21:05,29,11,2021,2h 10m,Non Stop,"5,955"
20,Vistara,New Delhi,Mumbai,19:50,22:00,29,11,2021,2h 10m,Non Stop,"5,955"
21,Vistara,New Delhi,Mumbai,20:40,22:50,29,11,2021,2h 10m,Non Stop,"5,955"
22,Vistara,New Delhi,Mumbai,21:40,23:50,29,11,2021,2h 10m,Non Stop,"5,955"
23,IndiGo,New Delhi,Mumbai,23:15,"01:25
+ 1 day",29,11,2021,2h 10m,Non Stop,"5,955"
24,Air India,New Delhi,Mumbai,09:00,11:15,29,11,2021,2h 15m,Non Stop,"5,955"
25,IndiGo,New Delhi,Mumbai,23:15,"01:25
+ 1 day",28,11,2021,2h 10m,Non Stop,"8,685"
26,Go First,New Delhi,Mumbai,22:30,"00:40
+ 1 day",28,11,2021,2h 10m,Non Stop,"9,102"
27,Vistara,New Delhi,Mumbai,21:40,23:50,28,11,2021,2h 10m,Non Stop,"10,470"
28,Air India,New Delhi,Mumbai,20:00,"09:45
+ 1 day",28,11,2021,13h 45m,1 Stop,"12,088"
29,Air Asia,New Delhi,Mumbai,22:10,"12:25
+ 1 day",28,11,2021,14h 15m,1 Stop,"13,055"
30,Vistara,New Delhi,Mumbai,19:55,"14:30
+ 1 day",28,11,2021,18h 35m,1 Stop,"13,095"
31,Vistara,New Delhi,Mumbai,19:55,"22:35
+ 1 day",28,11,2021,26h 40m,1 Stop,"13,095"
32,Vistara,New Delhi,Mumbai,19:55,"11:40
+ 1 day",28,11,2021,15h 45m,1 Stop,"13,200"
33,Vistara,New Delhi,Mumbai,19:55,"09:00
+ 1 day",28,11,2021,13h 05m,1 Stop,"13,830"
34,IndiGo,New Delhi,Mumbai,20:20,"05:55
+ 1 day",28,11,2021,9h 35m,1 Stop,"14,093"
35,Go First,New Delhi,Mumbai,19:55,"02:00
+ 1 day",28,11,2021,6h 05m,1 Stop,"14,539"
36,Vistara,New Delhi,Mumbai,20:40,"20:15
+ 1 day",28,11,2021,23h 35m,1 Stop,"14,775"
37,Vistara,New Delhi,Mumbai,20:40,"20:45
+ 1 day",28,11,2021,24h 05m,1 Stop,"14,775"
38,Vistara,New Delhi,Mumbai,20:40,"21:50
+ 1 day",28,11,2021,25h 10m,1 Stop,"14,775"
39,Vistara,New Delhi,Mumbai,20:40,"23:25
+ 1 day",28,11,2021,26h 45m,1 Stop,"14,775"
40,Vistara,New Delhi,Mumbai,20:40,"08:15
+ 1 day",28,11,2021,11h 35m,1 Stop,"14,880"
41,Vistara,New Delhi,Mumbai,20:40,"11:25
+ 1 day",28,11,2021,14h 45m,1 Stop,"15,668"
42,Vistara,New Delhi,Mumbai,19:50,22:00,28,11,2021,2h 10m,Non Stop,"15,720"
43,Air Asia,New Delhi,Mumbai,18:25,20:40,28,11,2021,2h 15m,Non Stop,"15,720"
44,IndiGo,New Delhi,Mumbai,20:00,22:15,28,11,2021,2h 15m,Non Stop,"15,720"
45,IndiGo,New Delhi,Mumbai,21:15,23:30,28,11,2021,2h 15m,Non Stop,"15,720"
46,Air India,New Delhi,Mumbai,22:00,"22:25
+ 1 day",28,11,2021,24h 25m,1 Stop,"16,088"
47,Air Asia,New Delhi,Mumbai,20:45,"07:15
+ 1 day",28,11,2021,10h 30m,1 Stop,"16,532"
48,Air India,New Delhi,Mumbai,18:20,"13:35
+ 1 day",28,11,2021,19h 15m,1 Stop,"16,603"
49,Vistara,New Delhi,Mumbai,18:40,"01:35
+ 1 day",28,11,2021,6h 55m,1 Stop,"16,665"
50,SpiceJet,New Delhi,Mumbai,05:55,18:25,30,11,2021,12h 30m,1 Stop,"5,635"
51,SpiceJet,New Delhi,Mumbai,18:10,"07:25
+ 1 day",30,11,2021,13h 15m,1 Stop,"5,635"
52,Air Asia,New Delhi,Mumbai,08:20,14:10,30,11,2021,5h 50m,1 Stop,"5,953"
53,Air Asia,New Delhi,Mumbai,20:00,"02:25
+ 1 day",30,11,2021,6h 25m,1 Stop,"5,953"
54,Air Asia,New Delhi,Mumbai,20:45,"07:15
+ 1 day",30,11,2021,10h 30m,1 Stop,"5,953"
55,Air Asia,New Delhi,Mumbai,09:35,20:35,30,11,2021,11h 00m,1 Stop,"5,953"
56,Air Asia,New Delhi,Mumbai,20:00,"07:40
+ 1 day",30,11,2021,11h 40m,1 Stop,"5,953"
57,Air Asia,New Delhi,Mumbai,08:00,20:35,30,11,2021,12h 35m,1 Stop,"5,953"
58,Air Asia,New Delhi,Mumbai,18:35,"07:15
+ 1 day",30,11,2021,12h 40m,1 Stop,"5,953"
59,Air Asia,New Delhi,Mumbai,12:40,"02:25
+ 1 day",30,11,2021,13h 45m,1 Stop,"5,953"
60,Air Asia,New Delhi,Mumbai,12:10,"02:25
+ 1 day",30,11,2021,14h 15m,1 Stop,"5,953"
61,Air Asia,New Delhi,Mumbai,22:10,"12:25
+ 1 day",30,11,2021,14h 15m,1 Stop,"5,953"
62,Go First,New Delhi,Mumbai,21:10,23:15,30,11,2021,2h 05m,Non Stop,"5,954"
63,Go First,New Delhi,Mumbai,07:00,09:10,30,11,2021,2h 10m,Non Stop,"5,954"
64,Go First,New Delhi,Mumbai,08:00,10:10,30,11,2021,2h 10m,Non Stop,"5,954"
65,Go First,New Delhi,Mumbai,18:25,20:35,30,11,2021,2h 10m,Non Stop,"5,954"
66,Go First,New Delhi,Mumbai,22:30,"00:40
+ 1 day",30,11,2021,2h 10m,Non Stop,"5,954"
67,Go First,New Delhi,Mumbai,02:00,04:15,30,11,2021,2h 15m,Non Stop,"5,954"
68,Go First,New Delhi,Mumbai,14:20,16:35,30,11,2021,2h 15m,Non Stop,"5,954"
69,Go First,New Delhi,Mumbai,19:40,21:55,30,11,2021,2h 15m,Non Stop,"5,954"
70,Go First,New Delhi,Mumbai,10:30,12:50,30,11,2021,2h 20m,Non Stop,"5,954"
71,Air India,New Delhi,Mumbai,18:00,20:00,30,11,2021,2h 00m,Non Stop,"5,955"
72,Air India,New Delhi,Mumbai,07:00,09:05,30,11,2021,2h 05m,Non Stop,"5,955"
73,IndiGo,New Delhi,Mumbai,06:30,08:40,30,11,2021,2h 10m,Non Stop,"5,955"
74,IndiGo,New Delhi,Mumbai,07:15,09:25,30,11,2021,2h 10m,Non Stop,"5,955"
75,Go First,Pune,Mumbai,19:00,23:55,30,11,2021,4h 55m,1 Stop,"8,321"
76,Go First,Pune,Mumbai,19:10,"00:40
+ 1 day",30,11,2021,5h 30m,1 Stop,"8,321"
77,Go First,Pune,Mumbai,17:40,23:55,30,11,2021,6h 15m,1 Stop,"8,321"
78,Go First,Pune,Mumbai,15:30,21:55,30,11,2021,6h 25m,1 Stop,"8,321"
79,Go First,Pune,Mumbai,15:30,23:15,30,11,2021,7h 45m,1 Stop,"8,321"
80,Go First,Pune,Mumbai,15:30,"00:40
+ 1 day",30,11,2021,9h 10m,1 Stop,"8,321"
81,Go First,Pune,Mumbai,11:15,20:35,30,11,2021,9h 20m,1 Stop,"8,321"
82,Go First,Pune,Mumbai,11:15,21:55,30,11,2021,10h 40m,1 Stop,"8,321"
83,Go First,Pune,Mumbai,11:15,23:15,30,11,2021,12h 00m,1 Stop,"8,321"
84,Go First,Pune,Mumbai,19:00,"07:20
+ 1 day",30,11,2021,12h 20m,1 Stop,"8,321"
85,Go First,Pune,Mumbai,09:10,21:50,30,11,2021,12h 40m,1 Stop,"8,321"
86,Go First,Pune,Mumbai,09:00,21:45,30,11,2021,12h 45m,1 Stop,"8,321"
87,Go First,Pune,Mumbai,11:15,"00:40
+ 1 day",30,11,2021,13h 25m,1 Stop,"8,321"
88,Air India,Pune,Mumbai,12:35,23:25,30,11,2021,10h 50m,1 Stop,"8,626"
89,Go First,Pune,Mumbai,19:10,"04:15
+ 1 day",30,11,2021,9h 05m,1 Stop,"11,705"
